id,name,slug,downloads,link
1178599,The Chronicles of Adventurers,chronicles-of-adventurers,698,https://www.curseforge.com/minecraft/modpacks/chronicles-of-adventurers
1243740,touchenlanden,touchenlande,166,https://www.curseforge.com/minecraft/modpacks/touchenlande
1345675,Create- but not only..,create-but-not-only,130,https://www.curseforge.com/minecraft/modpacks/create-but-not-only
1360290,RedCraft Official,redcraft-official,16,https://www.curseforge.com/minecraft/modpacks/redcraft-official
1311924,Ground Zero (GZ),ground-zero-gz,185,https://www.curseforge.com/minecraft/modpacks/ground-zero-gz
1283888,"Epic  Tanks, Weather , Mobs  and More!",epic-mod-pack-tanks-weather-mobs-and-more,38,https://www.curseforge.com/minecraft/modpacks/epic-mod-pack-tanks-weather-mobs-and-more
1356570,Season 2 Maffman,season-2-maffman,81,https://www.curseforge.com/minecraft/modpacks/season-2-maffman
1356430,CFA (CREATE FOR ALL),cfa-create-for-all,13,https://www.curseforge.com/minecraft/modpacks/cfa-create-for-all
1359145,Shork,shork,11,https://www.curseforge.com/minecraft/modpacks/shork
1334772,Busted Create,busted-create,122,https://www.curseforge.com/minecraft/modpacks/busted-create
1341316,Life After the Dead,life-after-the-dead,30,https://www.curseforge.com/minecraft/modpacks/life-after-the-dead
1357979,RareGhost's Create Collection,rareghosts-create-collection,25,https://www.curseforge.com/minecraft/modpacks/rareghosts-create-collection
1357035,Fox's Create a Lot,foxs-create-a-lot,85,https://www.curseforge.com/minecraft/modpacks/foxs-create-a-lot
1352217,Chill & Diam's,chill-diams,40,https://www.curseforge.com/minecraft/modpacks/chill-diams
1354156,Neutron7ix - Universe,neutron7ix-universe,133,https://www.curseforge.com/minecraft/modpacks/neutron7ix-universe
1355546,ScarletOrigin,ppm-modpack,65,https://www.curseforge.com/minecraft/modpacks/ppm-modpack
1344181,ACB Kingdoms Revamped,acb-kingdoms-revamped,160,https://www.curseforge.com/minecraft/modpacks/acb-kingdoms-revamped
1279486,Create: Rabutz,create-rabutz,121,https://www.curseforge.com/minecraft/modpacks/create-rabutz
1237030,[AHM] A New Dawn [HF],ahm-a-new-dawn,407,https://www.curseforge.com/minecraft/modpacks/ahm-a-new-dawn
1357158,Teto's Cooked Fantasy Adventure,tetos-cooked-fantasy-adventure,48,https://www.curseforge.com/minecraft/modpacks/tetos-cooked-fantasy-adventure
1315504,Novam Vitam,novam-vitam,402,https://www.curseforge.com/minecraft/modpacks/novam-vitam
1354072,Everdown,everdown,29,https://www.curseforge.com/minecraft/modpacks/everdown
1335533,Create: Big War,create-big-war,445,https://www.curseforge.com/minecraft/modpacks/create-big-war
